country,code,value
Aruba,ABW,
Afghanistan,AFG,19291104007.8299
Angola,AGO,88815697793.303
Albania,ALB,15279183289.9372
Andorra,AND,3154057987.23833
Arab World,ARB,2817414584665.11
United Arab Emirates,ARE,421142267937.65
Argentina,ARG,445445177459.426
Armenia,ARM,13672802157.8324
American Samoa,ASM,
Antigua and Barbuda,ATG,1661962962.96296
Australia,AUS,1396567014733.23
Austria,AUT,445075391688.156
Azerbaijan,AZE,48047647058.8235
Burundi,BDI,3012334881.64057
Belgium,BEL,533097455834.509
Benin,BEN,14390709094.9386
Burkina Faso,BFA,15990803569.9961
Bangladesh,BGD,302571254131.135
Bulgaria,BGR,68558815111.6199
Bahrain,BHR,38574069148.9362
Bahamas, The,13022100000
Bosnia and Herzegovina,BIH,20164193806.88
Belarus,BLR,63080457022.6599
Belize,BLZ,1879613600
Bermuda,BMU,7484113000
Bolivia,BOL,40895322843.7851
Brazil,BRA,1839758040765.62
Barbados,BRB,5209000000
Brunei Darussalam,BRN,13469422958.5105
Bhutan,BTN,2530547157.56678
Botswana,BWA,18340480936.0444
Central African Republic,CAF,2220307368.69593
Canada,CAN,1736425629519.96
Central Europe and the Baltics,CEB,1668851928931.89
Switzerland,CHE,703082435158.864
Channel Islands,CHI,
Chile,CHL,282318159744.65
China,CHN,14342903006431.3
Cote d'Ivoire,CIV,58539424929.7248
Cameroon,CMR,39007354359.2798
Congo, Dem. Rep.,46831342212.5473
Congo, Rep.,13518403446.9566
Colombia,COL,323615979418.651
Comoros,COM,1165839927.06327
Cabo Verde,CPV,1981845740.35828
Costa Rica,CRI,61801385049.0716
Caribbean small states,CSS,77721714917.8506
Cuba,CUB,
Curacao,CUW,3101787709.49721
Cayman Islands,CYM,
Cyprus,CYP,24948935408.0376
Czech Republic,CZE,250680504529.647
Germany,DEU,3861123558039.21
Djibouti,DJI,3324634256.13324
Dominica,DMA,582403703.703704
Denmark,DNK,350104327658.675
Dominican Republic,DOM,88941299734.2073
Algeria,DZA,171091289782.245
East Asia & Pacific (excluding high income),EAP,17214775860650.6
Early-demographic dividend,EAR,11989867025219.9
East Asia & Pacific,EAS,26987767528542.9
Europe & Central Asia (excluding high income),ECA,3248461689441.89
Europe & Central Asia,ECS,22792819661712.7
Ecuador,ECU,107435665000
Egypt, Arab Rep.,249712999437.254
Euro area,EMU,13356063677260.5
Eritrea,ERI,
Spain,ESP,1393490524517.64
Estonia,EST,31471100656.2431
Ethiopia,ETH,95912590628.1412
European Union,EUU,15626448476438.3
Fragile and conflict affected situations,FCS,1778456492418.56
Finland,FIN,269296310180.392
Fiji,FJI,5496250694.31587
France,FRA,2715518274227.45
